id,code,name,slug,unit,unit_cost,place,open,sales,received,transfer,waste,actual,actual_cost,daily_requirement,delivery,delivery_cost,delivery_time,fullstock,fullstock_days,stock_days,first_cost,last_cost
43,792340035,укроп,ukrop,кг,307,С-1-1,0,17.472,24,0,0,7,-2746.88,0.2369,0,0,5,-4,1,28,274,307
66,55552222,хлеб2,hleb2,шт.,50,store,0,0,12,0,0,0,0,0,0,0,3,-3,0,9999,50,50
65,22225555,Хлеб,hleb,шт.,237.29,store,0,0,34,0,0,0,0,0,0,0,2,-2,0,9999,232,250
14,792310070,масло подсолнечное,maslo-podsolnecnoe,л,76,A-1-6,0,271.99,316,0,0,44,-9239.3,4.2868,0,0,5,-1,4,10,67,76
15,792320218,запеканка твор. гот.,zapekanka-tvor-got,шт.,16,A-1-7,0,8305,9524,0,0,1219,-56742,118.4286,0,0,5,-1,4,10,14,16
17,792330026,сливки 33%,slivki-33,кг,424,A-1-9,0,482.72,559,0,0,76,-91088,7.3285,0,0,5,-1,4,10,378,424
20,899900545,Карт.жаркое с кур.,kartjarkoe-s-kur,шт.,16,B-1-1,0,8666,9999,0,0,1333,-61866,118.4286,0,0,5,-1,4,11,14,16
22,792320003,бекон,bekon,кг,212,A-2-4,0,87.84,106,0,0,18,-9168,1.1843,0,0,5,-1,4,15,189,212
24,792330077,говядина гриль,govadina-gril,кг,86,A-2-6,0,1861.31,2142,0,0,281,-74184.8,27.39,0,0,5,-1,4,10,76,86
27,792320227,куриное филе дет.60г,kurinoe-file-det60g,шт.,529,A-2-9,0,16008,18262,0,0,2254,-3753000,236.8571,0,0,5,-1,4,10,472,529
31,792320008,брокколи заморож.,brokkoli-zamoroj,кг,244,B-2-4,0,587.42,604,0,0,17,-9066.6,17.3486,0,0,5,-1,4,1,217,244
34,792340009,картофель отварной,kartofel_-otvarnoj,кг,62,B-2-7,0,614.375,703,0,0,89,-17131.75,9.1857,0,0,5,-1,4,10,55,62
36,792320052,лук нар. заморож.,luk-nar-zamoroj,кг,319,B-2-9,0,472.41,549,0,0,77,-70623,7.3605,0,0,5,-1,4,10,284,319
52,792310098,рис белый,ris-belyj,кг,107,store,0,399.35,468,0,0,69,-21135,5.0714,0,0,5,-1,4,14,95,107
54,792330090,соус барбекю,sous-barbeku,кг,33,store,0,174.72,205,0,0,30,-2691.6,2.3686,0,0,5,-1,4,13,29,33
55,792310122,соус кис-слад с овощ,sous-kis-slad-s-ovos,кг,276,store,0,334.28,386,0,0,52,-42712.8,4.7371,0,0,5,-1,4,11,246,276
57,792310129,томатная паста,tomatnaa-pasta,кг,455,store,0,81.85,98,0,0,16,-17135.5,1.1843,0,0,5,-1,4,14,406,455
60,792330054,яйцо вареное,ajzo-varenoe,шт.,12,store,0,4097.5,4695,0,0,598,-19705,59.2143,0,0,5,-1,4,10,10,12
67,55552225,хлеб22,hleb22,шт.,60,store,0,0,10,0,0,0,0,0,0,0,1,-1,0,9999,50,60
6,792310143,орехи грецкие 300,orehi-grezkie-300,кг,160,B-1-4,0,120.06,139,0,0,19,-7959,1.7764,0,0,5,0,5,11,142,160
19,792330041,сыр Гауда тертый,syr-gauda-tertyj,кг,455,A-2-2,0,409.81,452,0,0,42,-54098.3,5.7572,0,0,5,0,5,7,406,455
39,792340022,петрушка,petruska,кг,244,A-3-3,0,16.542,25,0,0,8,-1734.66,0.249,0,0,5,0,5,34,217,244
51,792310096,перец черный молотый,perez-cernyj-molotyj,кг,741,store,0,33.282,42,0,0,9,-10697.4,0.5243,0,0,5,0,5,17,661,741
3,792310020,ананас конс. кубик,ananas-kons-kubik,кг,212,A-1-4,0,167.14,220,14,13,26,-15628,2.3686,0,0,5,1,6,11,189,212
4,792310058,кукуруза консерв.,kukuruza-konserv,кг,529,B-1-2,0,159.74,191,0,0,31,-40370,2.0286,0,0,5,1,6,15,472,529
8,792310087,пассеровка белая,passerovka-belaa,кг,160,B-1-6,0,105.292,122,0,0,17,-7093.8,1.651,0,0,5,1,6,10,142,160
18,792330029,сметана 15% 900 г,smetana-15-900-g,кг,424,A-2-1,0,243.84,278,0,0,34,-43936,3.5529,0,0,5,1,6,10,378,424
21,792330076,азу из говядины,azu-iz-govadiny,шт.,216,A-2-3,0,9323.24,11226,600,0,1303,-876714.39,134.0329,0,0,5,1,6,10,192,216
25,792320016,говяжьи котлеты,govaj_i-kotlety,кг,86,A-2-7,0,1240.932,1409,0,0,168,-44154.56,18.238,0,0,5,1,6,9,76,86
28,792320045,куриные медальоны,kurinye-medal_ony,кг,529,B-2-1,0,1634.57,1875,0,0,240,-391785,22.5014,0,0,5,1,6,11,472,529
44,792340038,чеснок,cesnok,кг,12.94,store,0,7.662,13,0,0,5,4.06,0.2263,0,0,5,1,6,24,12,13
48,792310114,соль,sol,кг,33,store,0,54.505,63,0,0,8,-705.15,0.853,0,0,5,1,6,10,29,33
