id,code,name,unit,unit_cost,quantity,cost,supplier,invoice
,792310087,?????????? ?????,?,160,328,52480,???? ???????,?22 ?? 2022-11-10
,792310096,????? ?????? ???????,?,1000,82,82000,???? ???????,?22 ?? 2022-11-10
,792310098,??? ?????,?,107,1379,147553,???? ???????,?22 ?? 2022-11-10
,792310110,?????? ???????????,?,424,1166,494384,???? ???????,?22 ?? 2022-11-10
,792310114,????,?,33,175,5775,???? ???????,?22 ?? 2022-11-10
,792310122,???? ???-???? ? ????,?,276,1028,283728,???? ???????,?22 ?? 2022-11-10
,792310126,???? ???????,?,276,24,6624,???? ???????,?22 ?? 2022-11-10
,792310129,???????? ?????,?,455,273,124215,???? ???????,?22 ?? 2022-11-10
,792310139,?????? ???????,?,307,552,169464,???? ???????,?22 ?? 2022-11-10
,792310143,????? ??????? 300,?,160,378,60480,???? ???????,?22 ?? 2022-11-10
,792320003,?????,?,212,253,53636,???? ???????,?22 ?? 2022-11-10
,792320008,???????? ???????.,?,244,2155,525820,???? ???????,?22 ?? 2022-11-10
,792320016,??????? ???????,?,86,4111,353546,???? ???????,?22 ?? 2022-11-10
,792320045,??????? ?????????,?,529,4849,2565121,???? ???????,?22 ?? 2022-11-10
,792320052,??? ???. ???????.,?,319,1500,478500,???? ???????,?22 ?? 2022-11-10
,792320094,??????? ?????,?,16,3198,51168,???? ???????,?22 ?? 2022-11-10
,792320201,??????? ??-???????,??.,54,39583,2137482,???? ???????,?22 ?? 2022-11-10
,792320218,????????? ????. ???.,??.,16,28100,449600,???????? ®?????????¯,?123 ?? 2022-11-11
,792320227,??????? ???? ???.60?,??.,300,49759,14927700,???????? ®?????????¯,?123 ?? 2022-11-11
,792320347,??????,??.,86,65015,5591290,???????? ®?????????¯,?123 ?? 2022-11-11
,792330015,????? ?????????,??,76,332,25232,???????? ®?????????¯,?123 ?? 2022-11-11
,792330026,?????? 33%,??,424,1513,641512,???? ???????,?22 ?? 2022-11-10
,792330029,??????? 15% 900 ?,??,424,764,323936,???????? ®?????????¯,?123 ?? 2022-11-11
,792330041,??? ????? ??????,??,455,1347,612885,???????? ®?????????¯,?123 ?? 2022-11-11
,792330054,???? ???????,??,12,14479,173748,???????? ®?????????¯,?123 ?? 2022-11-11
,792330076,??? ?? ????????,??,216,28720,6203520,???????? ®?????????¯,?123 ?? 2022-11-11
,792330077,???????? ?????,??,86,5835,501810,???????? ®?????????¯,?123 ?? 2022-11-11
,792330090,???? ???????,??,33,501,16533,???????? ®?????????¯,?123 ?? 2022-11-11
,792340009,????????? ????????,??,62,2144,132928,?????????? ?????????,?12 ?? 2022-11-12
,792340012,??? ???????,??,233,1748,407284,?????????? ?????????,?12 ?? 2022-11-12
,792340022,????????,??,244,46,11224,?????????? ?????????,?12 ?? 2022-11-12
,792340035,?????,??,307,46,14122,?????????? ?????????,?12 ?? 2022-11-12
,792340038,??????,??,13,22,286,?????????? ?????????,?12 ?? 2022-11-12
,899900545,????.?????? ? ???.,??,16,24406,390496,?????????? ?????????,?12 ?? 2022-11-12
,899901012,?????? ? ???????2200,??,297,1166,346302,???????? ®?????????¯,?123 ?? 2022-11-11
