id,code,name,unit,unit_cost,quantity,cost,supplier,invoice
,792310087,пассеровка белая,л,160,328,52 480,База мяспром,№22 от 2022-11-10
,792310096,перец черный молотый,л,1000,82,82 000,База мяспром,№22 от 2022-11-10
,792310098,рис белый,л,107,1379,147 553,База мяспром,№22 от 2022-11-10
,792310110,свекла консервиров,л,424,1166,494 384,База мяспром,№22 от 2022-11-10
,792310114,соль,л,33,175,5 775,База мяспром,№22 от 2022-11-10
,792310122,соус кис-слад с овощ,л,276,1028,283 728,База мяспром,№22 от 2022-11-10
,792310126,соус табаско,л,276,24,6 624,База мяспром,№22 от 2022-11-10
,792310129,томатная паста,л,455,273,124 215,База мяспром,№22 от 2022-11-10
,792310139,фасоль красная,л,307,552,169 464,База мяспром,№22 от 2022-11-10
,792310143,орехи грецкие 300,л,160,378,60 480,База мяспром,№22 от 2022-11-10
,792320003,бекон,л,212,253,53 636,База мяспром,№22 от 2022-11-10
,792320008,брокколи заморож.,л,244,2155,525 820,База мяспром,№22 от 2022-11-10
,792320016,говяжьи котлеты,л,86,4111,353 546,База мяспром,№22 от 2022-11-10
,792320045,куриные медальоны,л,529,4849,2 565 121,База мяспром,№22 от 2022-11-10
,792320052,лук нар. заморож.,л,319,1500,478 500,База мяспром,№22 от 2022-11-10
,792320094,грибная смесь,л,16,3198,51 168,База мяспром,№22 от 2022-11-10
,792320201,котлета по-киевски,шт.,54,39583,2 137 482,База мяспром,№22 от 2022-11-10
,792320218,запеканка твор. гот.,шт.,16,28100,449 600,Компания «Консервов»,№123 от 2022-11-11
,792320227,куриное филе дет.60г,шт.,300,49759,14 927 700,Компания «Консервов»,№123 от 2022-11-11
,792320347,гарнир,шт.,86,65015,5 591 290,Компания «Консервов»,№123 от 2022-11-11
,792330015,масло сливочное,кг,76,332,25 232,Компания «Консервов»,№123 от 2022-11-11
,792330026,сливки 33%,кг,424,1513,641 512,База мяспром,№22 от 2022-11-10
,792330029,сметана 15% 900 г,кг,424,764,323 936,Компания «Консервов»,№123 от 2022-11-11
,792330041,сыр Гауда тертый,кг,455,1347,612 885,Компания «Консервов»,№123 от 2022-11-11
,792330054,яйцо вареное,кг,12,14479,173 748,Компания «Консервов»,№123 от 2022-11-11
,792330076,азу из говядины,кг,216,28720,6 203 520,Компания «Консервов»,№123 от 2022-11-11
,792330077,говядина гриль,кг,86,5835,501 810,Компания «Консервов»,№123 от 2022-11-11
,792330090,соус барбекю,кг,33,501,16 533,Компания «Консервов»,№123 от 2022-11-11
,792340009,картофель отварной,кг,62,2144,132 928,Фермерское хозяйство,№12 от 2022-11-12
,792340012,лук зеленый,кг,233,1748,407 284,Фермерское хозяйство,№12 от 2022-11-12
,792340022,петрушка,кг,244,46,11 224,Фермерское хозяйство,№12 от 2022-11-12
,792340035,укроп,кг,307,46,14 122,Фермерское хозяйство,№12 от 2022-11-12
,792340038,чеснок,кг,13,22,286,Фермерское хозяйство,№12 от 2022-11-12
,899900545,Карт.жаркое с кур.,кг,16,24406,390 496,Фермерское хозяйство,№12 от 2022-11-12
,899901012,сельдь с укропом2200,кг,297,1166,346 302,Компания «Консервов»,№123 от 2022-11-11
