id,code,name,unit,unit_cost,quantity,cost,supplier,invoice,created_date
,222,Новый товар,шт.,52,24,1248,Фермерское хозяйство,№124 от 19.11.2022,
,22225555,Хлеб,шт.,120,300,36000,Yuriy,№24 от 19.11.2022,
,792310020,ананас конс. кубик,кг,220,84,18480,Компания «Консервов»,№12 от 19.11.2022,
,792320347,гарнир,шт.,86,6556,563816,Компания «Консервов»,№12 от 19.11.2022,
,792320201,котлета по-киевски,шт.,54,4092,220968,База мяспром,№1242 от 19.11.2022,
,792310058,кукуруза консерв.,кг,530,108,57240,Компания «Консервов»,№12 от 19.11.2022,
,792310070,масло подсолнечное,л,80,120,9600,База мяспром,№124 от 19.11.2022,
,792310096,перец черный молотый,кг,1000,6,6000,Компания «Консервов»,№12 от 19.11.2022,
,792340022,петрушка,кг,244,12,2928,Фермерское хозяйство,№124 от 19.11.2022,
,792310126,соус табаско,кг,276,12,3312,Компания «Консервов»,№12 от 19.11.2022,
,792340038,чеснок,кг,13,12,156,Фермерское хозяйство,№124 от 19.11.2022,
