id,code,name,unit,unit_cost,quantity,cost,supplier,invoice,created_date
,899900545,Карт.жаркое с кур.,шт.,500,2221,1110500,База мяспром,d23423 от 22-11-2022,
,792320003,бекон,кг,70,53,3710,База мяспром,d23423 от 22-11-2022,
,792320008,брокколи заморож.,кг,70,449,31430,Фермерское хозяйство,d23423 от 22-11-2022,
,12312226,брокколи с сыром,шт.,0,24,0,Фермерское хозяйство,d23423 от 22-11-2022,
,123122266,брокколи с сыром-22,шт.,0,24,0,Фермерское хозяйство,d23423 от 22-11-2022,
,792320347,гарнир,шт.,120,2016,241920,Компания «Консервов»,d23423 от 22-11-2022,
,792330077,говядина гриль,кг,800,192,153600,База мяспром,d23423 от 22-11-2022,
,792320016,говяжьи котлеты,кг,70,129,9030,База мяспром,d23423 от 22-11-2022,
,792320094,грибная смесь,кг,70,222,15540,Фермерское хозяйство,d23423 от 22-11-2022,
,792320218,запеканка твор. гот.,шт.,120,516,61920,Компания «Консервов»,d23423 от 22-11-2022,
,792340009,картофель отварной,кг,430,14,6020,Фермерское хозяйство,d23423 от 22-11-2022,
,792320201,котлета по-киевски,шт.,70,804,56280,База мяспром,d23423 от 22-11-2022,
,792310058,кукуруза консерв.,кг,150,69,10350,Компания «Консервов»,d23423 от 22-11-2022,
,792320227,куриное филе дет.60г,шт.,120,457,54840,База мяспром,d23423 от 22-11-2022,
,792320045,куриные медальоны,кг,70,252,17640,База мяспром,d23423 от 22-11-2022,
,792320052,лук нар. заморож.,кг,70,113,7910,Фермерское хозяйство,d23423 от 22-11-2022,
,792330015,масло сливочное,кг,600,42,25200,Компания «Консервов»,d23423 от 22-11-2022,
,792310143,орехи грецкие 300,кг,800,30,24000,Компания «Консервов»,d23423 от 22-11-2022,
,792310086,паприка сладкая мол.,кг,160,12,1920,Компания «Консервов»,d23423 от 22-11-2022,
,792310087,пассеровка белая,кг,150,45,6750,Компания «Консервов»,d23423 от 22-11-2022,
,792310096,перец черный молотый,кг,1000,18,18000,Компания «Консервов»,d23423 от 22-11-2022,
,792310098,рис белый,кг,150,124,18600,Хлебокомбинат «Колос»,d23423 от 22-11-2022,
,792310110,свекла консервиров,кг,400,8,3200,Компания «Консервов»,d23423 от 22-11-2022,
,899901012,сельдь с укропом2200,кг,280,8,2240,Компания «Консервов»,d23423 от 22-11-2022,
,792330026,сливки 33%,кг,400,67,26800,База мяспром,d23423 от 22-11-2022,
,792330029,сметана 15% 900 г,кг,400,72,28800,Компания «Консервов»,d23423 от 22-11-2022,
,792310114,соль,кг,33,36,1188,Компания «Консервов»,d23423 от 22-11-2022,
,792330090,соус барбекю,кг,430,55,23650,Компания «Консервов»,d23423 от 22-11-2022,
,792310122,соус кис-слад с овощ,кг,400,48,19200,Компания «Консервов»,d23423 от 22-11-2022,
,792330041,сыр Гауда тертый,кг,430,162,69660,Компания «Консервов»,d23423 от 22-11-2022,
,792310129,томатная паста,кг,400,33,13200,Компания «Консервов»,d23423 от 22-11-2022,
,792340035,укроп,кг,307,12,3684,Фермерское хозяйство,d23423 от 22-11-2022,
,792310139,фасоль красная,кг,88,67,5896,Компания «Консервов»,d23423 от 22-11-2022,
