id,code,name,unit,unit_cost,quantity,cost,supplier,invoice,created_date
,792330076,азу из говядины,шт.,220,1200,264000,База мяспром,d23423 от 22-11-2022,
,792320347,гарнир,шт.,120,2000,240000,Компания «Консервов»,d23423 от 22-11-2022,
,792320094,грибная смесь,кг,70,132,9240,Фермерское хозяйство,d23423 от 22-11-2022,
,792340009,картофель отварной,кг,430,96,41280,Фермерское хозяйство,d23423 от 22-11-2022,
,792310058,кукуруза консерв.,кг,150,36,5400,Компания «Консервов»,d23423 от 22-11-2022,
,792320227,куриное филе дет.60г,шт.,120,1500,180000,База мяспром,d23423 от 22-11-2022,
,792330015,масло сливочное,кг,600,24,14400,Компания «Консервов»,d23423 от 22-11-2022,
,792310087,пассеровка белая,кг,150,24,3600,Компания «Консервов»,d23423 от 22-11-2022,
,792330026,сливки 33%,кг,400,84,33600,База мяспром,d23423 от 22-11-2022,
,792330029,сметана 15% 900 г,кг,400,36,14400,Компания «Консервов»,d23423 от 22-11-2022,
