id,code,name,unit,unit_cost,quantity,cost,supplier,invoice,created_date
,899900545,Карт.жаркое с кур.,шт.,500,8868,4434000,База мяспром,2023-01-22 #4,
,792330076,азу из говядины,шт.,220,9840,2164800,База мяспром,2023-01-22 #6,
,792310020,ананас конс. кубик,кг,220,168,36960,Компания «Консервов»,2023-01-22 #7,
,792320003,бекон,кг,70,96,6720,База мяспром,2023-01-22 #8,
,792320008,брокколи заморож.,кг,70,1332,93240,Фермерское хозяйство,2023-01-22 #9,
,792320347,гарнир,шт.,120,16816,2017920,Компания «Консервов»,2023-01-22 #12,
,792330077,говядина гриль,кг,800,2052,1641600,База мяспром,2023-01-22 #13,
,792320016,говяжьи котлеты,кг,70,1392,97440,База мяспром,2023-01-22 #14,
,792320094,грибная смесь,кг,70,1068,74760,Фермерское хозяйство,2023-01-22 #15,
,792320218,запеканка твор. гот.,шт.,120,8880,1065600,Компания «Консервов»,2023-01-22 #16,
,792340009,картофель отварной,кг,430,636,273480,Фермерское хозяйство,2023-01-22 #17,
,792320201,котлета по-киевски,шт.,70,8832,618240,База мяспром,2023-01-22 #18,
,792310058,кукуруза консерв.,кг,150,156,23400,Компания «Консервов»,2023-01-22 #19,
,792320227,куриное филе дет.60г,шт.,120,17208,2064960,База мяспром,2023-01-22 #20,
,792320045,куриные медальоны,кг,70,1728,120960,База мяспром,2023-01-22 #21,
,792340012,лук зеленый,кг,430,576,247680,Фермерское хозяйство,2023-01-22 #22,
,792320052,лук нар. заморож.,кг,70,516,36120,Фермерское хозяйство,2023-01-22 #23,
,792330015,масло сливочное,кг,600,108,64800,Компания «Консервов»,2023-01-22 #25,
,792310143,орехи грецкие 300,кг,800,144,115200,Компания «Консервов»,2023-01-22 #26,
,792310086,паприка сладкая мол.,кг,160,12,1920,Компания «Консервов»,2023-01-22 #27,
,792310087,пассеровка белая,кг,150,108,16200,Компания «Консервов»,2023-01-22 #28,
,792310096,перец черный молотый,кг,1000,36,36000,Компания «Консервов»,2023-01-22 #29,
,792340022,петрушка,кг,244,24,5856,Фермерское хозяйство,2023-01-22 #30,
,792310098,рис белый,кг,150,400,60000,Хлебокомбинат «Колос»,2023-01-22 #31,
,792310110,свекла консервиров,кг,400,384,153600,Компания «Консервов»,2023-01-22 #32,
,899901012,сельдь с укропом2200,кг,280,384,107520,Компания «Консервов»,2023-01-22 #33,
,792330026,сливки 33%,кг,400,504,201600,База мяспром,2023-01-22 #34,
,792330029,сметана 15% 900 г,кг,400,252,100800,Компания «Консервов»,2023-01-22 #35,
,792310114,соль,кг,33,72,2376,Компания «Консервов»,2023-01-22 #36,
,792330090,соус барбекю,кг,430,204,87720,Компания «Консервов»,2023-01-22 #37,
,792310122,соус кис-слад с овощ,кг,400,384,153600,Компания «Консервов»,2023-01-22 #38,
,792310126,соус табаско,кг,276,12,3312,Компания «Консервов»,2023-01-22 #39,
,792330041,сыр Гауда тертый,кг,430,636,273480,Компания «Консервов»,2023-01-22 #40,
,792310129,томатная паста,кг,400,96,38400,Компания «Консервов»,2023-01-22 #41,
,792340035,укроп,кг,307,24,7368,Фермерское хозяйство,2023-01-22 #42,
,792310139,фасоль красная,кг,88,168,14784,Компания «Консервов»,2023-01-22 #43,
,55552222,хлеб2,шт.,80,1,80,Yuriy,2023-01-22 #44,
,55552225,хлеб22,шт.,50,2,100,Yuriy,2023-01-22 #45,
,792340038,чеснок,кг,13,24,312,Фермерское хозяйство,2023-01-22 #46,
,792330054,яйцо вареное,шт.,430,4740,2038200,База мяспром,2023-01-22 #47,
