id,name,code,unit,price,sold,date,created_date
,куп кур.медальоны,430343370,шт.,204,538,2022-11-17,
,кур. с орех соусом2,420346213,шт.,190,426,2022-11-17,
,карт.жаркое с курице,999900632,шт.,215,800,2022-11-17,
,салат с сельдью Люци,400344658,шт.,148,550,2022-11-17,
,жульен грибной,440359723,шт.,189,656,2022-11-17,
,котлета по-киевски,460351207,шт.,148,522,2022-11-17,
,буррито вегетар.,430343394,шт.,214,826,2022-11-17,
,котлета домашняя,430334436,шт.,185,495,2022-11-17,
,брокколи с сыром,420346232,шт.,192,697,2022-11-17,
,говядина с соусом,400331665,шт.,186,771,2022-11-17,
,говядина с картоф.,400331689,шт.,147,411,2022-11-17,
,говядина по-бургундк,400356359,шт.,184,745,2022-11-17,
,говядина сыр и барбе,400341947,шт.,203,578,2022-11-17,
,запеканка твор.готов,450338990,шт.,193,440,2022-11-17,
,куп кур.медальоны,430343370,шт.,204,796,2022-11-18,
,кур. с орех соусом2,420346213,шт.,190,701,2022-11-18,
,карт.жаркое с курице,999900632,шт.,215,997,2022-11-18,
,салат с сельдью Люци,400344658,шт.,148,478,2022-11-18,
,жульен грибной,440359723,шт.,189,750,2022-11-18,
,котлета по-киевски,460351207,шт.,148,471,2022-11-18,
,буррито вегетар.,430343394,шт.,214,569,2022-11-18,
,котлета домашняя,430334436,шт.,185,571,2022-11-18,
,брокколи с сыром,420346232,шт.,192,516,2022-11-18,
,говядина с соусом,400331665,шт.,186,609,2022-11-18,
,говядина с картоф.,400331689,шт.,147,547,2022-11-18,
,говядина по-бургундк,400356359,шт.,184,855,2022-11-18,
,говядина сыр и барбе,400341947,шт.,203,540,2022-11-18,
,запеканка твор.готов,450338990,шт.,193,515,2022-11-18,
