id,name,code,unit,price,sold,date,created_date
,куп кур.медальоны,430343370,шт.,204,211,2022-11-13,
,кур. с орех соусом2,420346213,шт.,190,259,2022-11-13,
,карт.жаркое с курице,999900632,шт.,215,472,2022-11-13,
,салат с сельдью Люци,400344658,шт.,148,312,2022-11-13,
,жульен грибной,440359723,шт.,189,448,2022-11-13,
,котлета по-киевски,460351207,шт.,148,363,2022-11-13,
,буррито вегетар.,430343394,шт.,214,356,2022-11-13,
,котлета домашняя,430334436,шт.,185,321,2022-11-13,
,брокколи с сыром,420346232,шт.,192,131,2022-11-13,
,говядина с соусом,400331665,шт.,186,225,2022-11-13,
,говядина с картоф.,400331689,шт.,147,498,2022-11-13,
,говядина по-бургундк,400356359,шт.,184,270,2022-11-13,
,говядина сыр и барбе,400341947,шт.,203,255,2022-11-13,
,запеканка твор.готов,450338990,шт.,193,287,2022-11-13,
,куп кур.медальоны,430343370,шт.,204,180,2022-11-14,
,кур. с орех соусом2,420346213,шт.,190,248,2022-11-14,
,карт.жаркое с курице,999900632,шт.,215,116,2022-11-14,
,салат с сельдью Люци,400344658,шт.,148,207,2022-11-14,
,жульен грибной,440359723,шт.,189,185,2022-11-14,
,котлета по-киевски,460351207,шт.,148,507,2022-11-14,
,буррито вегетар.,430343394,шт.,214,446,2022-11-14,
,котлета домашняя,430334436,шт.,185,438,2022-11-14,
,брокколи с сыром,420346232,шт.,192,127,2022-11-14,
,говядина с соусом,400331665,шт.,186,451,2022-11-14,
,говядина с картоф.,400331689,шт.,147,180,2022-11-14,
,говядина по-бургундк,400356359,шт.,184,535,2022-11-14,
,говядина сыр и барбе,400341947,шт.,203,323,2022-11-14,
,запеканка твор.готов,450338990,шт.,193,164,2022-11-14,
,куп кур.медальоны,430343370,шт.,204,157,2022-11-15,
,кур. с орех соусом2,420346213,шт.,190,117,2022-11-15,
,карт.жаркое с курице,999900632,шт.,215,453,2022-11-15,
,салат с сельдью Люци,400344658,шт.,148,228,2022-11-15,
,жульен грибной,440359723,шт.,189,248,2022-11-15,
,котлета по-киевски,460351207,шт.,148,158,2022-11-15,
,буррито вегетар.,430343394,шт.,214,306,2022-11-15,
,котлета домашняя,430334436,шт.,185,441,2022-11-15,
,брокколи с сыром,420346232,шт.,192,169,2022-11-15,
,говядина с соусом,400331665,шт.,186,191,2022-11-15,
,говядина с картоф.,400331689,шт.,147,347,2022-11-15,
,говядина по-бургундк,400356359,шт.,184,530,2022-11-15,
,говядина сыр и барбе,400341947,шт.,203,311,2022-11-15,
,запеканка твор.готов,450338990,шт.,193,208,2022-11-15,
,куп кур.медальоны,430343370,шт.,204,415,2022-11-16,
,кур. с орех соусом2,420346213,шт.,190,427,2022-11-16,
,карт.жаркое с курице,999900632,шт.,215,333,2022-11-16,
,салат с сельдью Люци,400344658,шт.,148,336,2022-11-16,
,жульен грибной,440359723,шт.,189,450,2022-11-16,
,котлета по-киевски,460351207,шт.,148,282,2022-11-16,
,буррито вегетар.,430343394,шт.,214,486,2022-11-16,
,котлета домашняя,430334436,шт.,185,135,2022-11-16,
,брокколи с сыром,420346232,шт.,192,112,2022-11-16,
,говядина с соусом,400331665,шт.,186,160,2022-11-16,
,говядина с картоф.,400331689,шт.,147,345,2022-11-16,
,говядина по-бургундк,400356359,шт.,184,231,2022-11-16,
,говядина сыр и барбе,400341947,шт.,203,481,2022-11-16,
,запеканка твор.готов,450338990,шт.,193,170,2022-11-16,
