id,name,code,unit,price,sold,date,created_date
,куп кур.медальоны,430343370,шт.,204,423,85 272,21-11-2022
,кур. с орех соусом2,420346213,шт.,190,374,70 110,21-11-2022
,карт.жаркое с курице,999900632,шт.,215,373,79 120,21-11-2022
,салат с сельдью Люци,400344658,шт.,148,592,86 876,21-11-2022
,жульен грибной,440359723,шт.,189,433,80 892,21-11-2022
,котлета по-киевски,460351207,шт.,148,345,50 320,21-11-2022
,буррито вегетар.,430343394,шт.,214,535,113 420,21-11-2022
,котлета домашняя,430334436,шт.,185,560,102 675,21-11-2022
,брокколи с сыром,420346232,шт.,192,272,51 264,21-11-2022
,говядина с соусом,400331665,шт.,186,461,84 816,21-11-2022
,говядина с картоф.,400331689,шт.,147,566,82 467,21-11-2022
,говядина по-бургундк,400356359,шт.,184,413,75 072,21-11-2022
,говядина сыр и барбе,400341947,шт.,203,382,76 531,21-11-2022
,запеканка твор.готов,450338990,шт.,193,428,108 273,21-11-2022
,,430343370,шт.,204,379,85 272,22-11-2022
,,420346213,шт.,190,378,70 110,22-11-2022
,,999900632,шт.,215,597,79 120,22-11-2022
,,400344658,шт.,148,438,86 876,22-11-2022
,,440359723,шт.,189,350,80 892,22-11-2022
,,460351207,шт.,148,540,50 320,22-11-2022
,,430343394,шт.,214,565,113 420,22-11-2022
,,430334436,шт.,185,277,102 675,22-11-2022
,,420346232,шт.,192,466,51 264,22-11-2022
,,400331665,шт.,186,571,84 816,22-11-2022
,,400331689,шт.,147,418,82 467,22-11-2022
,,400356359,шт.,184,387,75 072,22-11-2022
,,400341947,шт.,203,571,76 531,22-11-2022
,,450338990,шт.,193,566,108 273,22-11-2022
