id,name,code,unit,price,sold,date,created_date
,куп кур.медальоны,430343370,шт.,204,423,2022-11-23,
,кур. с орех соусом2,420346213,шт.,190,374,2022-11-23,
,карт.жаркое с курице,999900632,шт.,215,373,2022-11-23,
,салат с сельдью Люци,400344658,шт.,148,592,2022-11-23,
,жульен грибной,440359723,шт.,189,433,2022-11-23,
,котлета по-киевски,460351207,шт.,148,345,2022-11-23,
,буррито вегетар.,430343394,шт.,214,535,2022-11-23,
,котлета домашняя,430334436,шт.,185,560,2022-11-23,
,брокколи с сыром,420346232,шт.,192,272,2022-11-23,
,говядина с соусом,400331665,шт.,186,461,2022-11-23,
,говядина с картоф.,400331689,шт.,147,566,2022-11-23,
,говядина по-бургундк,400356359,шт.,184,413,2022-11-23,
,говядина сыр и барбе,400341947,шт.,203,382,2022-11-23,
,запеканка твор.готов,450338990,шт.,193,428,2022-11-23,
