id,name,code,unit,price,sold,date,created_date
,куп кур.медальоны,430343370,шт.,204,423,21-11-2022,
,кур. с орех соусом2,420346213,шт.,190,374,21-11-2022,
,карт.жаркое с курице,999900632,шт.,215,373,21-11-2022,
,салат с сельдью Люци,400344658,шт.,148,592,21-11-2022,
,жульен грибной,440359723,шт.,189,433,21-11-2022,
,котлета по-киевски,460351207,шт.,148,345,21-11-2022,
,буррито вегетар.,430343394,шт.,214,535,21-11-2022,
,котлета домашняя,430334436,шт.,185,560,21-11-2022,
,брокколи с сыром,420346232,шт.,192,272,21-11-2022,
,говядина с соусом,400331665,шт.,186,461,21-11-2022,
,говядина с картоф.,400331689,шт.,147,566,21-11-2022,
,говядина по-бургундк,400356359,шт.,184,413,21-11-2022,
,говядина сыр и барбе,400341947,шт.,203,382,21-11-2022,
,запеканка твор.готов,450338990,шт.,193,428,21-11-2022,
,куп кур.медальоны,430343370,шт.,204,379,22-11-2022,
,кур. с орех соусом2,420346213,шт.,190,378,22-11-2022,
,карт.жаркое с курице,999900632,шт.,215,597,22-11-2022,
,салат с сельдью Люци,400344658,шт.,148,438,22-11-2022,
,жульен грибной,440359723,шт.,189,350,22-11-2022,
,котлета по-киевски,460351207,шт.,148,540,22-11-2022,
,буррито вегетар.,430343394,шт.,214,565,22-11-2022,
,котлета домашняя,430334436,шт.,185,277,22-11-2022,
,брокколи с сыром,420346232,шт.,192,466,22-11-2022,
,говядина с соусом,400331665,шт.,186,571,22-11-2022,
,говядина с картоф.,400331689,шт.,147,418,22-11-2022,
,говядина по-бургундк,400356359,шт.,184,387,22-11-2022,
,говядина сыр и барбе,400341947,шт.,203,571,22-11-2022,
,запеканка твор.готов,450338990,шт.,193,566,22-11-2022,
