id,name,code,unit,price,sold,date,created_date
,куп кур.медальоны,430343370,шт.,204,423,2022-11-21,
,кур. с орех соусом2,420346213,шт.,190,374,2022-11-21,
,карт.жаркое с курице,999900632,шт.,215,373,2022-11-21,
,салат с сельдью Люци,400344658,шт.,148,592,2022-11-21,
,жульен грибной,440359723,шт.,189,433,2022-11-21,
,котлета по-киевски,460351207,шт.,148,345,2022-11-21,
,буррито вегетар.,430343394,шт.,214,535,2022-11-21,
,котлета домашняя,430334436,шт.,185,560,2022-11-21,
,брокколи с сыром,420346232,шт.,192,272,2022-11-21,
,говядина с соусом,400331665,шт.,186,461,2022-11-21,
,говядина с картоф.,400331689,шт.,147,566,2022-11-21,
,говядина по-бургундк,400356359,шт.,184,413,2022-11-21,
,говядина сыр и барбе,400341947,шт.,203,382,2022-11-21,
,запеканка твор.готов,450338990,шт.,193,428,2022-11-21,
,куп кур.медальоны,430343370,шт.,204,379,2022-11-22,
,кур. с орех соусом2,420346213,шт.,190,378,2022-11-22,
,карт.жаркое с курице,999900632,шт.,215,597,2022-11-22,
,салат с сельдью Люци,400344658,шт.,148,438,2022-11-22,
,жульен грибной,440359723,шт.,189,350,2022-11-22,
,котлета по-киевски,460351207,шт.,148,540,2022-11-22,
,буррито вегетар.,430343394,шт.,214,565,2022-11-22,
,котлета домашняя,430334436,шт.,185,277,2022-11-22,
,брокколи с сыром,420346232,шт.,192,466,2022-11-22,
,говядина с соусом,400331665,шт.,186,571,2022-11-22,
,говядина с картоф.,400331689,шт.,147,418,2022-11-22,
,говядина по-бургундк,400356359,шт.,184,387,2022-11-22,
,говядина сыр и барбе,400341947,шт.,203,571,2022-11-22,
,запеканка твор.готов,450338990,шт.,193,566,2022-11-22,
