id,name,code,unit,price,sold,date,created_date
,брокколи с сыром,420346232,шт.,192,12,2022-08-20,
,буррито вегетар.,430343394,шт.,214,150,2022-08-20,
,говядина по-бургундк,400356359,шт.,184,162,2022-08-20,
,говядина с картоф.,400331689,шт.,147,142,2022-08-20,
,говядина с соусом,400331665,шт.,186,148,2022-08-20,
,говядина сыр и барбе,400341947,шт.,203,160,2022-08-20,
,жульен грибной,440359723,шт.,189,140,2022-08-20,
,запеканка твор.готов,450338990,шт.,193,146,2022-08-20,
,карт.жаркое с курице,999900632,шт.,215,158,2022-08-20,
,котлета домашняя,430334436,шт.,185,138,2022-08-20,
,котлета по-киевски,460351207,шт.,148,144,2022-08-20,
,куп кур.медальоны,430343370,шт.,204,156,2022-08-20,
,кур. с орех соусом2,420346213,шт.,190,136,2022-08-20,
,салат с сельдью Люци,400344658,шт.,148,142,2022-08-20,
,,,,,,,
,брокколи с сыром,420346232,шт.,192,54,2022-11-24,
,буррито вегетар.,430343394,шт.,214,80,2022-11-24,
,говядина по-бургундк,400356359,шт.,184,97,2022-11-24,
,говядина с картоф.,400331689,шт.,147,97,2022-11-24,
,говядина с соусом,400331665,шт.,186,97,2022-11-24,
,говядина сыр и барбе,400341947,шт.,203,97,2022-11-24,
,жульен грибной,440359723,шт.,189,97,2022-11-24,
,карт.жаркое с курице,450338990,шт.,193,97,2022-11-24,
,котлета домашняя,999900632,шт.,215,97,2022-11-24,
,котлета по-киевски,430334436,шт.,185,97,2022-11-24,
,куп кур.медальоны,460351207,шт.,148,97,2022-11-24,
,кур. с орех соусом2,430343370,шт.,204,97,2022-11-24,
,запеканка твор.готов,420346213,шт.,190,97,2022-11-24,
,салат с сельдью Люци,400344658,шт.,148,97,2022-11-24,
,брокколи с сыром,420346232,шт.,192,59,2022-11-25,
,буррито вегетар.,430343394,шт.,214,85,2022-11-25,
,говядина по-бургундк,400356359,шт.,184,102,2022-11-25,
,говядина с картоф.,400331689,шт.,147,102,2022-11-25,
,говядина с соусом,400331665,шт.,186,102,2022-11-25,
,говядина сыр и барбе,400341947,шт.,203,102,2022-11-25,
,жульен грибной,440359723,шт.,189,102,2022-11-25,
,карт.жаркое с курице,450338990,шт.,193,102,2022-11-25,
,котлета домашняя,999900632,шт.,215,102,2022-11-25,
,котлета по-киевски,430334436,шт.,185,102,2022-11-25,
,куп кур.медальоны,460351207,шт.,148,102,2022-11-25,
,кур. с орех соусом2,430343370,шт.,204,102,2022-11-25,
,запеканка твор.готов,420346213,шт.,190,102,2022-11-25,
,салат с сельдью Люци,400344658,шт.,148,102,2022-11-25,
,брокколи с сыром,420346232,шт.,192,98,2022-11-26,
,буррито вегетар.,430343394,шт.,214,124,2022-11-26,
,говядина по-бургундк,400356359,шт.,184,141,2022-11-26,
,говядина с картоф.,400331689,шт.,147,141,2022-11-26,
,говядина с соусом,400331665,шт.,186,141,2022-11-26,
,говядина сыр и барбе,400341947,шт.,203,141,2022-11-26,
,жульен грибной,440359723,шт.,189,141,2022-11-26,
,карт.жаркое с курице,450338990,шт.,193,141,2022-11-26,
,котлета домашняя,999900632,шт.,215,141,2022-11-26,
,котлета по-киевски,430334436,шт.,185,141,2022-11-26,
,куп кур.медальоны,460351207,шт.,148,141,2022-11-26,
,кур. с орех соусом2,430343370,шт.,204,141,2022-11-26,
,запеканка твор.готов,420346213,шт.,190,141,2022-11-26,
,салат с сельдью Люци,400344658,шт.,148,141,2022-11-26,
,брокколи с сыром,420346232,шт.,192,108,2022-11-27,
,буррито вегетар.,430343394,шт.,214,134,2022-11-27,
,говядина по-бургундк,400356359,шт.,184,151,2022-11-27,
,говядина с картоф.,400331689,шт.,147,151,2022-11-27,
,говядина с соусом,400331665,шт.,186,151,2022-11-27,
,говядина сыр и барбе,400341947,шт.,203,151,2022-11-27,
,жульен грибной,440359723,шт.,189,151,2022-11-27,
,карт.жаркое с курице,450338990,шт.,193,151,2022-11-27,
,котлета домашняя,999900632,шт.,215,151,2022-11-27,
,котлета по-киевски,430334436,шт.,185,151,2022-11-27,
,куп кур.медальоны,460351207,шт.,148,151,2022-11-27,
,кур. с орех соусом2,430343370,шт.,204,151,2022-11-27,
,запеканка твор.готов,420346213,шт.,190,151,2022-11-27,
,салат с сельдью Люци,400344658,шт.,148,151,2022-11-27,
,брокколи с сыром,420346232,шт.,192,60,2022-11-28,
,буррито вегетар.,430343394,шт.,214,86,2022-11-28,
,говядина по-бургундк,400356359,шт.,184,103,2022-11-28,
,говядина с картоф.,400331689,шт.,147,103,2022-11-28,
,говядина с соусом,400331665,шт.,186,103,2022-11-28,
,говядина сыр и барбе,400341947,шт.,203,103,2022-11-28,
,жульен грибной,440359723,шт.,189,103,2022-11-28,
,карт.жаркое с курице,450338990,шт.,193,103,2022-11-28,
,котлета домашняя,999900632,шт.,215,103,2022-11-28,
,котлета по-киевски,430334436,шт.,185,103,2022-11-28,
,куп кур.медальоны,460351207,шт.,148,103,2022-11-28,
,кур. с орех соусом2,430343370,шт.,204,103,2022-11-28,
,запеканка твор.готов,420346213,шт.,190,103,2022-11-28,
,салат с сельдью Люци,400344658,шт.,148,103,2022-11-28,
,брокколи с сыром,420346232,шт.,192,56,2022-11-29,
,буррито вегетар.,430343394,шт.,214,82,2022-11-29,
,говядина по-бургундк,400356359,шт.,184,99,2022-11-29,
