id,name,code,unit,price,sold,date,created_date
,брокколи с сыром,420346232,шт.,192,73,2023-11-21,
,буррито вегетар.,430343394,шт.,214,115,2023-11-21,
,говядина по-бургундк,400356359,шт.,184,97,2023-11-21,
,говядина с картоф.,400331689,шт.,147,169,2023-11-21,
,говядина с соусом,400331665,шт.,186,192,2023-11-21,
,говядина сыр и барбе,400341947,шт.,203,130,2023-11-21,
,жульен грибной,440359723,шт.,189,122,2023-11-21,
,карт.жаркое с курице,450338990,шт.,193,145,2023-11-21,
,котлета домашняя,999900632,шт.,215,177,2023-11-21,
,котлета по-киевски,430334436,шт.,185,134,2023-11-21,
,куп кур.медальоны,460351207,шт.,148,192,2023-11-21,
,кур. с орех соусом2,430343370,шт.,204,115,2023-11-21,
,запеканка твор.готов,420346213,шт.,190,114,2023-11-21,
,салат с сельдью Люци,400344658,шт.,148,98,2023-11-21,
,брокколи с сыром,420346232,шт.,192,78,2023-11-22,
,буррито вегетар.,430343394,шт.,214,102,2023-11-22,
,говядина по-бургундк,400356359,шт.,184,191,2023-11-22,
,говядина с картоф.,400331689,шт.,147,188,2023-11-22,
,говядина с соусом,400331665,шт.,186,163,2023-11-22,
,говядина сыр и барбе,400341947,шт.,203,161,2023-11-22,
,жульен грибной,440359723,шт.,189,182,2023-11-22,
,карт.жаркое с курице,450338990,шт.,193,176,2023-11-22,
,котлета домашняя,999900632,шт.,215,112,2023-11-22,
,котлета по-киевски,430334436,шт.,185,148,2023-11-22,
,куп кур.медальоны,460351207,шт.,148,166,2023-11-22,
,кур. с орех соусом2,430343370,шт.,204,107,2023-11-22,
,запеканка твор.готов,420346213,шт.,190,114,2023-11-22,
,салат с сельдью Люци,400344658,шт.,148,188,2023-11-22,
,брокколи с сыром,420346232,шт.,192,59,2023-11-23,
,буррито вегетар.,430343394,шт.,214,116,2023-11-23,
,говядина по-бургундк,400356359,шт.,184,107,2023-11-23,
,говядина с картоф.,400331689,шт.,147,139,2023-11-23,
,говядина с соусом,400331665,шт.,186,97,2023-11-23,
,говядина сыр и барбе,400341947,шт.,203,153,2023-11-23,
,жульен грибной,440359723,шт.,189,152,2023-11-23,
,карт.жаркое с курице,450338990,шт.,193,102,2023-11-23,
,котлета домашняя,999900632,шт.,215,121,2023-11-23,
,котлета по-киевски,430334436,шт.,185,120,2023-11-23,
,куп кур.медальоны,460351207,шт.,148,187,2023-11-23,
,кур. с орех соусом2,430343370,шт.,204,100,2023-11-23,
,запеканка твор.готов,420346213,шт.,190,132,2023-11-23,
,салат с сельдью Люци,400344658,шт.,148,191,2023-11-23,
