id,product,code,sold,first_day,date,last_day
3655,брокколи с сыром,420346232,48,2022-07-18,2022-08-19,2022-08-19
3656,буррито вегетар.,430343394,72,2022-07-18,2022-08-19,2022-08-19
3657,говядина по-бургундк,400356359,80,2022-07-18,2022-08-19,2022-08-19
3658,говядина с картоф.,400331689,81,2022-07-18,2022-08-19,2022-08-19
3659,говядина с соусом,400331665,82,2022-07-18,2022-08-19,2022-08-19
3660,говядина сыр и барбе,400341947,83,2022-07-18,2022-08-19,2022-08-19
3661,жульен грибной,440359723,84,2022-07-18,2022-08-19,2022-08-19
3662,запеканка твор.готов,450338990,90,2022-07-18,2022-08-19,2022-08-19
3663,карт.жаркое с курице,999900632,85,2022-07-18,2022-08-19,2022-08-19
3664,котлета домашняя,430334436,86,2022-07-18,2022-08-19,2022-08-19
3665,котлета по-киевски,460351207,87,2022-07-18,2022-08-19,2022-08-19
3666,куп кур.медальоны,430343370,88,2022-07-18,2022-08-19,2022-08-19
3667,кур. с орех соусом2,420346213,89,2022-07-18,2022-08-19,2022-08-19
3668,салат с сельдью Люци,400344658,91,2022-07-18,2022-08-19,2022-08-19
3669,брокколи с сыром,420346232,42,2022-07-18,2022-08-18,2022-08-19
3670,буррито вегетар.,430343394,68,2022-07-18,2022-08-18,2022-08-19
3671,говядина по-бургундк,400356359,85,2022-07-18,2022-08-18,2022-08-19
3672,говядина с картоф.,400331689,85,2022-07-18,2022-08-18,2022-08-19
3673,говядина с соусом,400331665,85,2022-07-18,2022-08-18,2022-08-19
3674,говядина сыр и барбе,400341947,85,2022-07-18,2022-08-18,2022-08-19
3675,жульен грибной,440359723,85,2022-07-18,2022-08-18,2022-08-19
3676,запеканка твор.готов,450338990,85,2022-07-18,2022-08-18,2022-08-19
3677,карт.жаркое с курице,999900632,85,2022-07-18,2022-08-18,2022-08-19
3678,котлета домашняя,430334436,85,2022-07-18,2022-08-18,2022-08-19
3679,котлета по-киевски,460351207,85,2022-07-18,2022-08-18,2022-08-19
3680,куп кур.медальоны,430343370,85,2022-07-18,2022-08-18,2022-08-19
3681,кур. с орех соусом2,420346213,85,2022-07-18,2022-08-18,2022-08-19
3682,салат с сельдью Люци,400344658,85,2022-07-18,2022-08-18,2022-08-19
3683,брокколи с сыром,420346232,54,2022-07-18,2022-08-17,2022-08-19
3684,говядина по-бургундк,400356359,97,2022-07-18,2022-08-17,2022-08-19
3685,говядина с картоф.,400331689,97,2022-07-18,2022-08-17,2022-08-19
3686,говядина с соусом,400331665,97,2022-07-18,2022-08-17,2022-08-19
3687,говядина сыр и барбе,400341947,97,2022-07-18,2022-08-17,2022-08-19
3688,жульен грибной,440359723,97,2022-07-18,2022-08-17,2022-08-19
3689,запеканка твор.готов,450338990,97,2022-07-18,2022-08-17,2022-08-19
3690,карт.жаркое с курице,999900632,97,2022-07-18,2022-08-17,2022-08-19
3691,котлета домашняя,430334436,97,2022-07-18,2022-08-17,2022-08-19
3692,котлета по-киевски,460351207,97,2022-07-18,2022-08-17,2022-08-19
3693,куп кур.медальоны,430343370,97,2022-07-18,2022-08-17,2022-08-19
3694,кур. с орех соусом2,420346213,97,2022-07-18,2022-08-17,2022-08-19
3695,салат с сельдью Люци,400344658,97,2022-07-18,2022-08-17,2022-08-19
3696,брокколи с сыром,420346232,59,2022-07-18,2022-08-16,2022-08-19
3697,буррито вегетар.,430343394,80,2022-07-18,2022-08-16,2022-08-19
3698,буррито вегетар.,430343394,85,2022-07-18,2022-08-16,2022-08-19
3699,говядина по-бургундк,400356359,102,2022-07-18,2022-08-16,2022-08-19
3700,говядина с картоф.,400331689,102,2022-07-18,2022-08-16,2022-08-19
3701,говядина с соусом,400331665,102,2022-07-18,2022-08-16,2022-08-19
3702,говядина сыр и барбе,400341947,102,2022-07-18,2022-08-16,2022-08-19
3703,жульен грибной,440359723,102,2022-07-18,2022-08-16,2022-08-19
3704,запеканка твор.готов,450338990,102,2022-07-18,2022-08-16,2022-08-19
3705,карт.жаркое с курице,999900632,102,2022-07-18,2022-08-16,2022-08-19
3706,котлета домашняя,430334436,102,2022-07-18,2022-08-16,2022-08-19
3707,котлета по-киевски,460351207,102,2022-07-18,2022-08-16,2022-08-19
3708,куп кур.медальоны,430343370,102,2022-07-18,2022-08-16,2022-08-19
3709,кур. с орех соусом2,420346213,102,2022-07-18,2022-08-16,2022-08-19
3710,салат с сельдью Люци,400344658,102,2022-07-18,2022-08-16,2022-08-19
3711,брокколи с сыром,420346232,98,2022-07-18,2022-08-15,2022-08-19
3712,буррито вегетар.,430343394,124,2022-07-18,2022-08-15,2022-08-19
3713,говядина по-бургундк,400356359,141,2022-07-18,2022-08-15,2022-08-19
